,Occupancy,Performance Metrics,Time,cpu_ratio,mem_fragmentation_ratio,mem_ratio,memtotal,memused,rejected_connections,swap_ratio,swaptotal,swapused,used_memory_human,used_memory_rss_human
78,0.85,Redis,2021-06-15 17:39:04,0.02,0.85,0.2,125.56,25.27,0,0.05,122.07,5.92,9.11M,7.72M
82,0.2,MEM,2021-06-15 17:39:05,0.02,0.86,0.2,125.56,25.28,0,0.05,122.07,5.92,8.94M,7.72M
83,0.02,CPU,2021-06-15 17:39:05,0.02,0.86,0.2,125.56,25.28,0,0.05,122.07,5.92,8.94M,7.72M
80,0.05,SWAP,2021-06-15 17:39:05,0.02,0.86,0.2,125.56,25.28,0,0.05,122.07,5.92,8.94M,7.72M
81,0.86,Redis,2021-06-15 17:39:05,0.02,0.86,0.2,125.56,25.28,0,0.05,122.07,5.92,8.94M,7.72M
84,0.2,MEM,2021-06-15 17:39:06,0.02,0.86,0.2,125.56,25.27,0,0.05,122.07,5.92,9.01M,7.72M
85,0.05,SWAP,2021-06-15 17:39:06,0.02,0.86,0.2,125.56,25.27,0,0.05,122.07,5.92,9.01M,7.72M
87,0.02,CPU,2021-06-15 17:39:06,0.02,0.86,0.2,125.56,25.27,0,0.05,122.07,5.92,9.01M,7.72M
86,0.86,Redis,2021-06-15 17:39:06,0.02,0.86,0.2,125.56,25.27,0,0.05,122.07,5.92,9.01M,7.72M
88,0.83,Redis,2021-06-15 17:39:08,0.02,0.83,0.2,125.56,25.28,0,0.05,122.07,5.92,9.29M,7.72M
89,0.05,SWAP,2021-06-15 17:39:08,0.02,0.83,0.2,125.56,25.28,0,0.05,122.07,5.92,9.29M,7.72M
90,0.02,CPU,2021-06-15 17:39:08,0.02,0.83,0.2,125.56,25.28,0,0.05,122.07,5.92,9.29M,7.72M
91,0.2,MEM,2021-06-15 17:39:08,0.02,0.83,0.2,125.56,25.28,0,0.05,122.07,5.92,9.29M,7.72M
94,0.2,MEM,2021-06-15 17:39:09,0.02,0.89,0.2,125.56,25.28,0,0.05,122.07,5.92,8.69M,7.72M
92,0.89,Redis,2021-06-15 17:39:09,0.02,0.89,0.2,125.56,25.28,0,0.05,122.07,5.92,8.69M,7.72M
93,0.02,CPU,2021-06-15 17:39:09,0.02,0.89,0.2,125.56,25.28,0,0.05,122.07,5.92,8.69M,7.72M
95,0.05,SWAP,2021-06-15 17:39:09,0.02,0.89,0.2,125.56,25.28,0,0.05,122.07,5.92,8.69M,7.72M
97,0.2,MEM,2021-06-15 17:39:10,0.02,0.84,0.2,125.56,25.27,0,0.05,122.07,5.92,9.15M,7.72M
96,0.02,CPU,2021-06-15 17:39:10,0.02,0.84,0.2,125.56,25.27,0,0.05,122.07,5.92,9.15M,7.72M
99,0.05,SWAP,2021-06-15 17:39:10,0.02,0.84,0.2,125.56,25.27,0,0.05,122.07,5.92,9.15M,7.72M
98,0.84,Redis,2021-06-15 17:39:10,0.02,0.84,0.2,125.56,25.27,0,0.05,122.07,5.92,9.15M,7.72M
102,0.82,Redis,2021-06-15 17:39:12,0.02,0.82,0.2,125.56,25.28,0,0.05,122.07,5.92,9.47M,7.72M
100,0.02,CPU,2021-06-15 17:39:12,0.02,0.82,0.2,125.56,25.28,0,0.05,122.07,5.92,9.47M,7.72M
101,0.2,MEM,2021-06-15 17:39:12,0.02,0.82,0.2,125.56,25.28,0,0.05,122.07,5.92,9.47M,7.72M
103,0.05,SWAP,2021-06-15 17:39:12,0.02,0.82,0.2,125.56,25.28,0,0.05,122.07,5.92,9.47M,7.72M
107,0.05,SWAP,2021-06-15 17:39:13,0.02,0.84,0.2,125.56,25.29,0,0.05,122.07,5.92,9.19M,7.72M
105,0.84,Redis,2021-06-15 17:39:13,0.02,0.84,0.2,125.56,25.29,0,0.05,122.07,5.92,9.19M,7.72M
104,0.02,CPU,2021-06-15 17:39:13,0.02,0.84,0.2,125.56,25.29,0,0.05,122.07,5.92,9.19M,7.72M
106,0.2,MEM,2021-06-15 17:39:13,0.02,0.84,0.2,125.56,25.29,0,0.05,122.07,5.92,9.19M,7.72M
108,0.85,Redis,2021-06-15 17:39:14,0.02,0.85,0.2,125.56,25.27,0,0.05,122.07,5.92,9.12M,7.72M
109,0.02,CPU,2021-06-15 17:39:14,0.02,0.85,0.2,125.56,25.27,0,0.05,122.07,5.92,9.12M,7.72M
111,0.05,SWAP,2021-06-15 17:39:14,0.02,0.85,0.2,125.56,25.27,0,0.05,122.07,5.92,9.12M,7.72M
110,0.2,MEM,2021-06-15 17:39:14,0.02,0.85,0.2,125.56,25.27,0,0.05,122.07,5.92,9.12M,7.72M
112,0.2,MEM,2021-06-15 17:39:16,0.02,0.80,0.2,125.56,25.27,0,0.05,122.07,5.92,9.61M,7.72M
113,0.02,CPU,2021-06-15 17:39:16,0.02,0.80,0.2,125.56,25.27,0,0.05,122.07,5.92,9.61M,7.72M
114,0.80,Redis,2021-06-15 17:39:16,0.02,0.80,0.2,125.56,25.27,0,0.05,122.07,5.92,9.61M,7.72M
115,0.05,SWAP,2021-06-15 17:39:16,0.02,0.80,0.2,125.56,25.27,0,0.05,122.07,5.92,9.61M,7.72M
118,0.2,MEM,2021-06-15 17:39:17,0.02,0.84,0.2,125.56,25.27,0,0.05,122.07,5.92,9.19M,7.72M
116,0.02,CPU,2021-06-15 17:39:17,0.02,0.84,0.2,125.56,25.27,0,0.05,122.07,5.92,9.19M,7.72M
117,0.84,Redis,2021-06-15 17:39:17,0.02,0.84,0.2,125.56,25.27,0,0.05,122.07,5.92,9.19M,7.72M
119,0.05,SWAP,2021-06-15 17:39:17,0.02,0.84,0.2,125.56,25.27,0,0.05,122.07,5.92,9.19M,7.72M
121,0.86,Redis,2021-06-15 17:39:18,0.02,0.86,0.2,125.56,25.28,0,0.05,122.07,5.92,9.01M,7.72M
120,0.2,MEM,2021-06-15 17:39:18,0.02,0.86,0.2,125.56,25.28,0,0.05,122.07,5.92,9.01M,7.72M
123,0.05,SWAP,2021-06-15 17:39:18,0.02,0.86,0.2,125.56,25.28,0,0.05,122.07,5.92,9.01M,7.72M
122,0.02,CPU,2021-06-15 17:39:18,0.02,0.86,0.2,125.56,25.28,0,0.05,122.07,5.92,9.01M,7.72M
126,0.05,SWAP,2021-06-15 17:39:19,0.02,0.81,0.2,125.56,25.29,0,0.05,122.07,5.92,9.54M,7.72M
127,0.81,Redis,2021-06-15 17:39:19,0.02,0.81,0.2,125.56,25.29,0,0.05,122.07,5.92,9.54M,7.72M
124,0.2,MEM,2021-06-15 17:39:19,0.02,0.81,0.2,125.56,25.29,0,0.05,122.07,5.92,9.54M,7.72M
125,0.02,CPU,2021-06-15 17:39:19,0.02,0.81,0.2,125.56,25.29,0,0.05,122.07,5.92,9.54M,7.72M
128,0.05,SWAP,2021-06-15 17:39:21,0.02,0.84,0.2,125.56,25.3,0,0.05,122.07,5.92,9.15M,7.72M
129,0.2,MEM,2021-06-15 17:39:21,0.02,0.84,0.2,125.56,25.3,0,0.05,122.07,5.92,9.15M,7.72M
131,0.02,CPU,2021-06-15 17:39:21,0.02,0.84,0.2,125.56,25.3,0,0.05,122.07,5.92,9.15M,7.72M
130,0.84,Redis,2021-06-15 17:39:21,0.02,0.84,0.2,125.56,25.3,0,0.05,122.07,5.92,9.15M,7.72M
132,0.05,SWAP,2021-06-15 17:39:22,0.02,0.91,0.2,125.56,25.27,0,0.05,122.07,5.92,8.45M,7.72M
133,0.02,CPU,2021-06-15 17:39:22,0.02,0.91,0.2,125.56,25.27,0,0.05,122.07,5.92,8.45M,7.72M
